






dag_id,data,mse_factor,name,stage_id
256388b7-f081-11e9-965e-340286a22b19,{},0.5,AQ1,3
256388b7-f081-11e9-965e-340286a22b19,{},0.5,AQ1,3
256388b7-f081-11e9-965e-340286a22b19,{},0.5,AQ1,4
256388b7-f081-11e9-965e-340286a22b19,{},0.5,AQ1,4
dag_id,data,mse_factor,name,stage_id
256388bd-f081-11e9-965e-340286a22b19,{'g': {'size': 200}},-0.5,AQ7,0
256388bd-f081-11e9-965e-340286a22b19,{},-0.5,AQ7,1
dag_id,data,mse_factor,name,stage_id
256388bd-f081-11e9-965e-340286a22b19,{'g': {'size': 200}},-0.4,AQ7,0
256388bd-f081-11e9-965e-340286a22b19,{},-0.4,AQ7,1
dag_id,data,mse_factor,name,stage_id
256388bd-f081-11e9-965e-340286a22b19,{'g': {'size': 200}},-0.3,AQ7,0
256388bd-f081-11e9-965e-340286a22b19,{},-0.3,AQ7,1
dag_id,data,mse_factor,name,stage_id
256388bd-f081-11e9-965e-340286a22b19,{'g': {'size': 200}},-0.2,AQ7,0
256388bd-f081-11e9-965e-340286a22b19,{},-0.2,AQ7,1
dag_id,data,mse_factor,name,stage_id
256388bd-f081-11e9-965e-340286a22b19,{'g': {'size': 200}},-0.1,AQ7,0
256388bd-f081-11e9-965e-340286a22b19,{},-0.1,AQ7,1
dag_id,data,mse_factor,name,stage_id
256388bd-f081-11e9-965e-340286a22b19,{'g': {'size': 200}},-0.05,AQ7,0
256388bd-f081-11e9-965e-340286a22b19,{},-0.05,AQ7,1
dag_id,data,mse_factor,name,stage_id
256388bd-f081-11e9-965e-340286a22b19,{'g': {'size': 200}},0,AQ7,0
256388bd-f081-11e9-965e-340286a22b19,{},0,AQ7,1
dag_id,data,mse_factor,name,stage_id
256388bd-f081-11e9-965e-340286a22b19,{'g': {'size': 200}},0.05,AQ7,0
256388bd-f081-11e9-965e-340286a22b19,{},0.05,AQ7,1
dag_id,data,mse_factor,name,stage_id
256388bd-f081-11e9-965e-340286a22b19,{'g': {'size': 200}},0.1,AQ7,0
256388bd-f081-11e9-965e-340286a22b19,{},0.1,AQ7,1
dag_id,data,mse_factor,name,stage_id
256388bd-f081-11e9-965e-340286a22b19,{'g': {'size': 200}},0.2,AQ7,0
256388bd-f081-11e9-965e-340286a22b19,{},0.2,AQ7,1
dag_id,data,mse_factor,name,stage_id
256388bd-f081-11e9-965e-340286a22b19,{'g': {'size': 200}},0.3,AQ7,0
256388bd-f081-11e9-965e-340286a22b19,{},0.3,AQ7,1
dag_id,data,mse_factor,name,stage_id
256388bd-f081-11e9-965e-340286a22b19,{'g': {'size': 200}},0.4,AQ7,0
256388bd-f081-11e9-965e-340286a22b19,{},0.4,AQ7,1
dag_id,data,mse_factor,name,stage_id
256388bd-f081-11e9-965e-340286a22b19,{'g': {'size': 200}},0.5,AQ7,0
256388bd-f081-11e9-965e-340286a22b19,{},0.5,AQ7,1
dag_id,data,mse_factor,name,stage_id
256388b9-f081-11e9-965e-340286a22b19,"{'or': {'size': 313}, 'cus': {'size': 45}}",-0.5,AQ3,1
256388b9-f081-11e9-965e-340286a22b19,"{'or': {'size': 326}, 'cus': {'size': 46}, 'sup': {'size': 57}}",-0.5,AQ3,1
256388b9-f081-11e9-965e-340286a22b19,{'re': {'size': 64}},-0.5,AQ3,2
256388b9-f081-11e9-965e-340286a22b19,{'re': {'size': 64}},-0.5,AQ3,2
256388b9-f081-11e9-965e-340286a22b19,{},-0.5,AQ3,3
256388b9-f081-11e9-965e-340286a22b19,{},-0.5,AQ3,3
256388b9-f081-11e9-965e-340286a22b19,{},-0.5,AQ3,4
256388b9-f081-11e9-965e-340286a22b19,{},-0.5,AQ3,4
256388b9-f081-11e9-965e-340286a22b19,{},-0.5,AQ3,5
dag_id,data,mse_factor,name,stage_id
256388b9-f081-11e9-965e-340286a22b19,"{'or': {'size': 326}, 'cus': {'size': 46}}",-0.4,AQ3,1
256388b9-f081-11e9-965e-340286a22b19,"{'or': {'size': 326}, 'cus': {'size': 46}, 'sup': {'size': 2}}",-0.4,AQ3,1
256388b9-f081-11e9-965e-340286a22b19,{'re': {'size': 64}},-0.4,AQ3,2
256388b9-f081-11e9-965e-340286a22b19,"{'re': {'size': 120}, 'c2': {'size': 37}}",-0.4,AQ3,2
256388b9-f081-11e9-965e-340286a22b19,"{'re': {'size': 120}, 'c2': {'size': 37}}",-0.4,AQ3,2
256388b9-f081-11e9-965e-340286a22b19,{'re': {'size': 64}},-0.4,AQ3,2
256388b9-f081-11e9-965e-340286a22b19,{},-0.4,AQ3,3
256388b9-f081-11e9-965e-340286a22b19,{},-0.4,AQ3,3
256388b9-f081-11e9-965e-340286a22b19,{},-0.4,AQ3,4
256388b9-f081-11e9-965e-340286a22b19,{},-0.4,AQ3,4
256388b9-f081-11e9-965e-340286a22b19,{},-0.4,AQ3,5
dag_id,data,mse_factor,name,stage_id
256388b9-f081-11e9-965e-340286a22b19,"{'or': {'size': 326}, 'cus': {'size': 46}}",-0.3,AQ3,1
256388b9-f081-11e9-965e-340286a22b19,{'re': {'size': 64}},-0.3,AQ3,2
256388b9-f081-11e9-965e-340286a22b19,"{'re': {'size': 120}, 'c2': {'size': 37}}",-0.3,AQ3,2
256388b9-f081-11e9-965e-340286a22b19,"{'re': {'size': 120}, 'c2': {'size': 37}}",-0.3,AQ3,2
256388b9-f081-11e9-965e-340286a22b19,{'re': {'size': 64}},-0.3,AQ3,2
256388b9-f081-11e9-965e-340286a22b19,{},-0.3,AQ3,3
